nAme,ty pe,sub_type,description,location,group.1,group.2,power_source.1,power_plug_src.1,power_input.1,power_source.2,power_plug_src.2,power_input.2,status,business_critical,priority,company,site_name,region,country,address,contact_name,contact_email,contact_phone,maximum_number_racks,u_size,manufacturer,model,asset_tag,serial_no,runtime,phase,installation_date,maintenance_date,maintenance_due,service_contact_name,service_contact_mail,service_contact_phone,location_front_pos,location_rear_pos,location_u_pos,location_w_pos,location_d_pos,end_warranty_date,battery_type,battery_installation_date,battery_maintenance_date,IP.1,Hostname.1,http_link.1,
DC-LAB1,datacenter,,Lab DC,,,,,xxx,,,,,active,yes,p1,EATON,Eaton DC 1,EMEA,Switzerland,Place de la Gare, 1345 Le Lieu,John Smith,john.smith@company.com,476010203,,,,EATON12310,,,,,,,,,,,,,,,,,,,,,,
ROOM-01,room,,feed room,DC-LAB1,,,,,,,,,active,no,p2,,,,,,,,,,,,,EATON12311,,,,,,,,,,,,,,,,,,,,,,
ANNEX-01,room,,Annex,DC-LAB1,,,,,,,,,active,yes,p3,,,,,,,,,,,,,EATON12312,,,,,,,,,,,,,,,,,,,,,,
CAGE-01,group,cage,cage 01,ROOM-01,,,,,,,,,active,yes,p4,,,,,,,,,,,,,EATON12313,,,,,,,,,,,,,,,,,,,,,,
ROW-01,row,,row in a cage,ROOM-01,CAGE-01,,,,,,,,active,yes,p5,,,,,,,,,10,,,,EATON12314,,,,,,,,,,,,,,,,,,,,,,
ROW-02,row,,row in a room,ROOM-01,,,,,,,,,active,yes,p6,,,,,,,,,10,,,,EATON12315,,,,,,,,,,,,,,,,,,,,,,
RACK-01,rack,,rack 01,ROW-01,,,,,,,,,active,yes,p16,,,,,,,,,,42U,Cooper,RESSPU4210KB 600mm x 1000mm - 42U Rack,EATON12345,21545212HGFV2,,,,,,,,,,,,,,,,,,,,,
RACK1-LAB,rack,,rack Lab,ROW-01,,,,,,,,,active,no,p0,,,,,,,,,,42U,Cooper,RESSPU4210KB 600mm x 1000mm - 42U Rack,EATON12346,21545212HGFV2,,,,,,,,,,,,,,,,,,,,,
GROUP1-LAB,group,input_power0123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789,input_power chain,DC-LAB1,,,,,,,,,active,yes,1,,,,,,,,,,,,,EATON12316,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_01,group,,customer X (IT),DC-LAB1,,,,,,,,,active,yes,2,,,,,,,,,,,,,EATON12317,,,,,,,,,,,,,,,,,,,,,,
CUSTOMER_02,group,Customer,customer X (IT),DC-LAB1,,,,,,,,,active,yes,2,,,,,,,,,,,,,EATON12318,,,,,,,,,,,,,,,,,,,,,,
MAIN_LAB,device,feed,MAIN 240V,DC-LAB1,,,,,,,,,nonactive,yes,3,,,,,,,,,,,,,EATON12319,,,,,,,,,,,,,,,,,,,,,,
MAIN3P_LAB,device,feed,MAIN 380V 3Ph,DC-LAB1,GROUP1-LAB,,,,,,,,active,no,4,,,,,,,,,,,,,EATON12320,,,3,,,,,,,,,,,,,,,,,,,
GENSET_01,device,genset,Genset,ANNEX-01,,,,,,,,,spare,yes,5,,,,,,,,,,,Generac,45kW NG/LG 240V 3 Phase,EATON12347,G789456,8,,4-Jun-14,4-Jun-14,4-Sep-14,Bob Jones,Bob.Jones@company.com,476010203,,,,,,,,,,,,,
GENSET_02,device,ups,Genset,ANNEX-01,,,,,,,,,retired,yes,5,,,,,,,,,,,Generac,45kW NG/LG 240V 3 Phase,EATON12348,G789456,8,,4-Jun-14,4-Jun-14,4-Sep-14,Bob Jones,Bob.Jones@company.com,476010203,,,,,,,,,,,,,
GENSET_03,device,pdu,Genset,ANNEX-01,,,,,,,,,spare,yes,5,,,,,,,,,,,Generac,45kW NG/LG 240V 3 Phase,EATON12349,GS-1_23#54.,8,,4-Jun-14,4-Jun-14,4-Sep-14,Bob Jones,Bob.Jones@company.com,476010203,,,,left,,,,,,,,,
GENSET_04,device,nonsense,Genset,ANNEX-01,,,,,,,,,active,yes,5,,,,,,,,,,,Generac,45kW NG/LG 240V 3 Phase,EATON12340,G789457,8,,4-Jun-14,4-Jun-14,4-Sep-14,Bob Jones,Bob.Jones@company.com,476010203,,,,,,,,,,,,,
ATS_01,device,sts,Automatic transfer switch,ROOM-01,,,MAIN_LAB,,,GENSET_01,,,active,yes,6,,,,,,,,,,,eaton,ATC-100,EATON12341,ATC1235,,,,,,,,,,,,,,,,,,,,,
UPS1-MAIN,device,ups,UPS somehow,ROOM-01,,,ATS_01,,,,,,active,yes,16,,,,,,,,,,3U,EATON,9PX 6kVA,EATON12341,G214D17012,,,4-Jun-14,4-Jun-14,,,,,,,,,,4-Jun-14,4-Jun-14,4-Jun-14,4-Jun-14,,,,
ePDU1-LAB,device,epdu,ePDU1 eMAA10,RACK1-LAB,,,UPS1-MAIN,,,,,,active,yes,0,,,,,,,,,,,EATON,Eaton ePDU MA 1P IN:IEC309 16A OUT:21xC13, 3xC19,EATON123460,U051B43007,,,4-Jun-14,,,,,,,sor1,left,,,4-Jun-14,,,,10.130.32.15,MApdu-BiosLeft.Bios.Labo.Kalif.com,
ePDU2-LAB,,epdu,ePDU1 eMAA10,RACK1-LAB,,,,,,,,,active,yes,0,,,,,,,,,,,EATON,Eaton ePDU MA 1P IN:IEC309 16A OUT:21xC13, 3xC19,EATON123460,U051B43007,,,4-Jun-14,,,,,,,sor1,right,,,4-Jun-14,,,,10.130.32.15,MApdu-BiosLeft.Bios.Labo.Kalif.com,
ePDU3-LAB,device,epdu,ePDU1 eMAA10,RACK-01,,,,,,,,,active,yes,0,,,,,,,,,,,EATON,Eaton ePDU MA 1P IN:IEC309 16A OUT:21xC13, 3xC19,EATON123460,U051B43007,,,4-Jun-14,,,,,,,sor1,left,,,4-Jun-14,,,,10.130.32.15,MApdu-BiosLeft.Bios.Labo.Kalif.com,https://MApdu-BiosLeft.Bios.Labo.Kalif.com:8080
,device,epdu,ePDU2 eMAA10,RACK-01,,,UPS1-MAIN,,,,,,active,yes,ABCD,,,,,,,,,,,EATON,Eaton ePDU MA 1P IN:IEC309 16A OUT:21xC13, 3xC19,EATON123460,U051B43007,,,4-Jun-14,,,,,,,sor2,right,,,4-Jun-14,,,,10.130.32.15,MApdu-BiosLeft.Bios.Labo.Kalif.com,https://MApdu-BiosLeft.Bios.Labo.Kalif.com:8080
SRV1_LAB,device,server,SRV1 PRIMERGY RX100 G8,RACK1-LAB,,,,B6,,ePDU1-LAB,B8,,active,yes,p1QW,,,,,,,,,,1U,Fujisu,RX100 G8,EATON12343,G789,,,4-Jun-14,,,,,,,,6,,,4-Jun-14,,,,10.130.32.16,srv1.Bios.Labo.Kalif.com,htps://srv1.Bios.Labo.Kalif.com,
SRV2_LAB,device,server,SRV1 PRIMERGY RX100 G8,RACK-01,,,,B7,,,B9,,active,yes,p1QW,,,,,,,,,,1U,Fujisu,RX100 G8,EATON12344,G789123,,,4-Jun-14,,,,,,,,6,,,4-Jun-14,,,,10.130.32.16,srv1.Bios.Labo.Kalif.com,htps://srv1.Bios.Labo.Kalif.com,
srv_long_asset_tag,device,server,,RACK-01,,,,,,,,,active,yes,2,,,,,,,,,,,,,VERYLONGASSETTAG,,,,,,,,,,,,,,,,,,,,,,
srv_short_asset_tag,device,server,,RACK-01,,,,,,,,,active,yes,3,,,,,,,,,,,,,SHORT,,,,,,,,,,,,,,,,,,,,,,
srv_missing_asset_tag,device,server,,RACK-01,,,,,,,,,active,yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
